name,url,comment
"Staples","https://submit-irm.trustarc.com/services/validation/2394f394-3df4-4051-bfa1-50c2cfa45f02",""
"Starbucks","https://privacyportal-cdn.onetrust.com/dsarwebform/f9975fc5-c93f-4ff8-8169-846d8f6cd4d2/dd7e8c8f-839f-4be3-9ebc-060786941e92.html",""
"StartApp","https://www.startapp.com/policy/privacy-policy/","Number 17."
"State Farm","https://www.statefarm.com/customer-care/privacy-security/privacy","(Other Important Information -> Residents of California)"
"Strava","https://www.strava.com/legal/legal_bases#ca_rights",""
"Stripe","https://stripe.com/privacy","(United States - California residents.)"
"SutterHealth","https://www.sutterhealth.org/privacy/privacy-request",""
"Synchrony Financial","https://www.synchronycredit.com/ccpa",""
"T-Mobile","https://www.t-mobile.com/privacy-center/take-control-of-your-data",""
"TapJoy","https://www.tapjoy.com/dataprivacyrequests/",""
"Target","https://www.target.com/do-not-sell-ca",""
"TaxAct","https://www.taxact.com/privacy-policy-california",""
"TD Ameritrade","https://www.tdameritrade.com/privacy-policies.page","(California Residents)"
"TD Bank","https://www.td.com/us/en/personal-banking/privacy/california/",""
"TeamViewer","https://www.teamviewer.com/en/privacy-policy/","(K. Your rights)"
"The Verge","https://www.theverge.com/contact#donotsell",""
"Thomas Reuters","https://privacyportal-cdn.onetrust.com/dsarwebform/dbf5ae8a-0a6a-4f4b-b527-7f94d0de6bbc/5dc91c0f-f1b7-4b6e-9d42-76043adaf72d.html",""
"Ticketmaster","https://app.onetrust.com/app/#/webform/a912475c-660e-40a7-b320-844ea439062a",""
"Total Wine","https://privacyportal-cdn.onetrust.com/dsarwebform/e8e8c9e2-21a8-4ddb-9a65-ea588ce288e7/d9869c13-df6f-4e17-bd93-828f47dc9e79.html",""
"Toyota","https://privacy.toyota.com/",""
"TransUnion","https://www.transunion.com/consumer-privacy",""
"TrustArc","https://www.trustarc.com/privacy-policy/#your-rights",""
"Uber","https://privacy.uber.com/privacy/california",""
"Under Armour","https://account.underarmour.com/en-us/privacy#location-region-specific-disclosures","(14. Residents of United States)"
"United Concordia Dental","https://www.unitedconcordia.com/contact-us/mailforms/privacy.xhtml","English"
"United Concordia Dental","https://www.unitedconcordia.com/contact-us/mailforms/privacy-spa.xhtml","Spanish"
"Ubisoft","https://legal.ubi.com/privacypolicy/en-US","(Your California Privacy Rights)"
"Unilever","https://privacy.unileversolutions.com/en/rights-request-form.html",""
"UPS","https://www.ups.com/us/en/help-center/legal-terms-conditions/california-privacy.page",""
"US Bank","https://www.usbank.com/about-us-bank/privacy/update-form.html",""
"Vanguard","https://investor.vanguard.com/privacy-center/home-page","(Information for California residents)"
"Verizon Media","https://www.verizonmedia.com/policies/us/en/verizonmedia/privacy/dashboard/index.html",""
"Verizon","https://www.verizonwireless.com/support/ccpa-faqs/",""
"Vice","https://www.vice.com/en_us/page/privacy-and-terms","(Contact Information)"
"Victoria's Secret","https://www.victoriassecret.com/data-subject-request",""
"Visa","https://usa.visa.com/legal/global-privacy-notice/ca-privacy-rights.html",""
"Vizio","https://www.vizio.com/en/terms/privacy-policy",""
"VMWare","https://www.vmware.com/help/privacy/california-privacy-rights.html",""
"Vox Media","https://www.voxmedia.com/contact#donotsell",""
"Vox","https://www.vox.com/contact#donotsell",""
"Walmart","https://corporate.walmart.com/privacy-security/california-privacy-rights",""
"WarnerMedia","https://www.warnermediaprivacy.com",""
"Washington Post","https://helpcenter.washingtonpost.com/hc/en-us/requests/new?ticket_form_id=360000603931",""
"Wayfair","https://www.wayfair.com/customerservice/general_info.php",""
"Weebly","https://termsandprivacy.weebly.com/privacy-en.html#_Toc27134602",""
"Wells Fargo","https://www.wellsfargo.com/privacy-security/privacy/california-consumer-privacy-notice/",""
"Wholefoods","https://www.wholefoodsmarket.com/customer-service/contact-us","(Topic->California Consumer Rights Request)"
"Wolfram","https://www.wolfram.com/legal/privacy/ccpa-addendum/",""
"Xfinity","https://www.xfinity.com/privacy/requests",""
"Yahoo","https://yahoo.mydashboard.oath.com/",""
"Yoshi","https://www.startyoshi.com/privacy","(Your California Privacy Rights)"
"Zillow Group","https://www.zillowgroup.com/terms-of-use-privacy-policy/zg-privacy-policy/#Legal-disclosures",""
"Zipcar","https://www.zipcar.com/california-privacy",""
